Fecha, Zona, CO2, SO2, NO2, PM2.5
2020-01-01, Norte, 32.50, 0.80, 2.10, 10.00
2020-01-02, Norte, 34.10, 0.70, 2.40, 10.50
2020-01-03, Norte, 33.00, 0.90, 2.20, 9.80
2020-01-01, Sur, 40.50, 1.20, 3.10, 15.00
2020-01-02, Sur, 38.00, 1.00, 2.80, 14.50
2020-01-03, Sur, 37.50, 1.10, 2.70, 13.90
2020-01-01, Este, 41.00, 1.30, 3.30, 17.00
2020-01-02, Este, 39.70, 1.10, 3.00, 16.50
2020-01-03, Este, 40.30, 1.20, 3.20, 16.80
2020-01-01, Centro, 45.00, 1.40, 3.50, 18.00
2020-01-02, Centro, 42.20, 1.30, 3.00, 17.50
2020-01-03, Centro, 44.50, 1.50, 3.40, 18.30
2020-01-01, Oeste, 30.10, 0.60, 1.90, 8.50
2020-01-02, Oeste, 29.40, 0.50, 1.80, 8.10
2020-01-03, Oeste, 30.00, 0.70, 2.00, 8.30
2020-01-01, Norte, 37.30, 0.80, 1.60, 9.30
2020-01-01, Sur, 38.90, 1.50, 3.20, 13.10
2020-01-01, Este, 45.20, 1.20, 3.50, 15.00
2020-01-01, Centro, 39.10, 1.10, 2.30, 21.10
2020-01-01, Oeste, 30.30, 0.40, 2.00, 8.60
2020-01-02, Norte, 34.40, 1.00, 2.10, 8.80
2020-01-02, Sur, 40.30, 1.30, 2.90, 17.70
2020-01-02, Este, 39.50, 1.00, 3.30, 15.80
2020-01-02, Centro, 44.90, 1.20, 3.20, 20.80
2020-01-02, Oeste, 29.00, 0.40, 2.30, 6.70
2020-01-03, Norte, 31.80, 0.90, 2.50, 11.90
2020-01-03, Sur, 37.20, 1.20, 2.70, 13.60
2020-01-03, Este, 42.70, 1.10, 3.30, 17.00
2020-01-03, Centro, 41.80, 1.60, 3.50, 15.00
2020-01-03, Oeste, 30.40, 0.40, 2.20, 6.10
2020-01-04, Norte, 32.50, 0.90, 2.20, 11.20
2020-01-04, Sur, 35.60, 1.40, 3.00, 16.50
2020-01-04, Este, 42.10, 1.20, 2.80, 15.90
2020-01-04, Centro, 47.10, 1.70, 3.10, 13.70
2020-01-04, Oeste, 29.40, 0.50, 1.80, 9.10
2020-01-05, Norte, 35.00, 1.00, 2.40, 7.40
2020-01-05, Sur, 38.00, 1.60, 3.00, 15.00
2020-01-05, Este, 41.10, 1.30, 2.50, 16.40
2020-01-05, Centro, 43.80, 1.70, 3.30, 15.50
2020-01-05, Oeste, 30.70, 0.40, 1.50, 7.00
2020-01-06, Norte, 34.30, 1.10, 2.40, 11.00
2020-01-06, Sur, 39.60, 1.10, 3.10, 10.80
2020-01-06, Este, 40.60, 1.00, 3.50, 16.50
2020-01-06, Centro, 44.00, 1.10, 3.60, 18.90
2020-01-06, Oeste, 30.90, 0.40, 1.70, 8.60
2020-01-07, Norte, 31.80, 0.90, 1.60, 9.40
2020-01-07, Sur, 42.30, 1.20, 2.90, 17.40
2020-01-07, Este, 35.70, 1.00, 3.00, 18.10
2020-01-07, Centro, 45.70, 1.20, 3.60, 17.30
2020-01-07, Oeste, 32.30, 0.40, 1.90, 7.60
2020-01-08, Norte, 35.30, 0.70, 2.20, 10.90
2020-01-08, Sur, 39.80, 1.30, 2.90, 13.80
2020-01-08, Este, 39.60, 1.20, 3.20, 16.50
2020-01-08, Centro, 43.90, 1.10, 3.50, 18.20
2020-01-08, Oeste, 31.80, 0.60, 1.40, 7.80
2020-01-09, Norte, 32.80, 0.90, 1.60, 10.20
2020-01-09, Sur, 39.70, 1.00, 2.90, 13.50
2020-01-09, Este, 38.90, 1.10, 3.00, 17.80
2020-01-09, Centro, 42.40, 1.20, 3.80, 19.40
2020-01-09, Oeste, 26.10, 0.40, 2.00, 8.80
2020-01-10, Norte, 30.20, 1.00, 2.50, 10.80
2020-01-10, Sur, 41.40, 1.20, 3.00, 16.80
2020-01-10, Este, 42.50, 1.00, 3.40, 15.80
2020-01-10, Centro, 44.90, 1.50, 2.90, 17.80
2020-01-10, Oeste, 30.40, 0.50, 2.00, 9.50
2020-01-11, Norte, 33.10, 0.80, 2.60, 10.80
2020-01-11, Sur, 39.10, 0.90, 3.10, 15.00
2020-01-11, Este, 42.90, 1.20, 2.60, 14.20
2020-01-11, Centro, 45.40, 1.30, 3.40, 18.10
2020-01-11, Oeste, 29.50, 0.60, 1.60, 8.30
2020-01-12, Norte, 32.00, 0.70, 2.10, 9.80
2020-01-12, Sur, 40.50, 1.10, 3.20, 16.80
2020-01-12, Este, 42.00, 1.30, 3.30, 18.10
2020-01-12, Centro, 44.10, 1.60, 3.50, 17.40
2020-01-12, Oeste, 31.60, 0.60, 1.90, 7.60
2020-01-13, Norte, 33.50, 1.00, 2.50, 10.60
2020-01-13, Sur, 39.90, 1.40, 2.80, 12.80
2020-01-13, Este, 42.90, 1.10, 3.00, 14.10
2020-01-13, Centro, 45.00, 1.10, 3.10, 18.80
2020-01-13, Oeste, 31.30, 0.50, 1.90, 7.00
2020-01-14, Norte, 32.10, 0.90, 2.10, 9.70
2020-01-14, Sur, 35.70, 1.30, 3.00, 15.70
2020-01-14, Este, 42.90, 1.00, 3.10, 13.90
2020-01-14, Centro, 50.20, 1.40, 3.60, 16.10
2020-01-14, Oeste, 31.80, 1.00, 1.90, 6.80
2020-01-15, Norte, 32.90, 0.40, 2.20, 11.30
2020-01-15, Sur, 38.60, 1.00, 3.00, 15.40
2020-01-15, Este, 37.00, 1.20, 3.90, 14.80
2020-01-15, Centro, 43.70, 1.80, 3.60, 17.20
2020-01-15, Oeste, 30.20, 0.60, 1.70, 8.20
2020-01-16, Norte, 32.60, 0.80, 2.00, 8.20
2020-01-16, Sur, 38.60, 1.40, 2.90, 14.00
2020-01-16, Este, 41.80, 1.20, 3.70, 16.80
2020-01-16, Centro, 45.30, 1.20, 3.50, 18.30
2020-01-16, Oeste, 29.70, 0.50, 1.70, 8.70
2020-01-17, Norte, 34.50, 0.80, 2.30, 10.00
2020-01-17, Sur, 38.90, 1.10, 2.90, 18.50
2020-01-17, Este, 41.00, 1.30, 3.30, 16.40
2020-01-17, Centro, 46.50, 1.30, 3.60, 17.40
2020-01-17, Oeste, 27.90, 0.70, 1.60, 9.10
2020-01-18, Norte, 30.80, 0.70, 1.80, 14.30
2020-01-18, Sur, 35.40, 1.10, 3.20, 16.00
2020-01-18, Este, 42.00, 1.10, 3.60, 18.10
2020-01-18, Centro, 44.30, 1.40, 3.20, 16.60
2020-01-18, Oeste, 32.30, 0.90, 1.60, 8.10
2020-01-19, Norte, 32.90, 0.80, 2.30, 11.50
2020-01-19, Sur, 37.20, 0.90, 3.20, 13.80
2020-01-19, Este, 37.80, 1.10, 3.10, 19.10
2020-01-19, Centro, 45.70, 1.60, 3.50, 19.40
2020-01-19, Oeste, 28.50, 0.60, 1.60, 8.00
2020-01-20, Norte, 34.60, 0.80, 2.60, 8.40
2020-01-20, Sur, 39.70, 0.90, 2.90, 15.60
2020-01-20, Este, 39.90, 1.30, 2.90, 14.30
2020-01-20, Centro, 45.00, 1.70, 3.00, 19.80
2020-01-20, Oeste, 29.90, 0.30, 1.60, 8.30
2020-01-21, Norte, 32.40, 0.50, 1.70, 8.80
2020-01-21, Sur, 39.10, 1.10, 2.70, 14.80
2020-01-21, Este, 42.40, 1.30, 3.10, 18.20
2020-01-21, Centro, 42.00, 1.40, 3.20, 16.10
2020-01-21, Oeste, 29.00, 0.20, 2.50, 6.90
2020-01-22, Norte, 36.40, 0.80, 2.40, 9.40
2020-01-22, Sur, 39.10, 1.20, 3.10, 15.60
2020-01-22, Este, 39.60, 1.10, 2.70, 17.60
2020-01-22, Centro, 46.10, 1.70, 3.40, 16.80
2020-01-22, Oeste, 26.40, 0.80, 1.40, 7.80
2020-01-23, Norte, 32.80, 0.80, 2.20, 10.30
2020-01-23, Sur, 33.80, 1.10, 2.20, 15.60
2020-01-23, Este, 39.20, 0.80, 2.90, 15.90
2020-01-23, Centro, 46.30, 1.40, 3.40, 19.70
2020-01-23, Oeste, 29.60, 0.80, 2.10, 6.40
2020-01-24, Norte, 36.10, 0.50, 2.50, 7.80
2020-01-24, Sur, 39.90, 1.50, 2.80, 14.10
2020-01-24, Este, 41.60, 1.10, 3.70, 17.10
2020-01-24, Centro, 43.30, 1.30, 3.00, 17.00
2020-01-24, Oeste, 29.10, 0.50, 1.70, 11.40
2020-01-25, Norte, 31.10, 0.80, 2.40, 11.00
2020-01-25, Sur, 38.50, 1.10, 3.00, 14.90
2020-01-25, Este, 39.80, 0.90, 3.00, 15.00
2020-01-25, Centro, 42.60, 1.40, 3.40, 20.60
2020-01-25, Oeste, 28.80, 0.80, 2.00, 10.20
2020-01-26, Norte, 34.40, 0.60, 1.70, 10.60
2020-01-26, Sur, 37.60, 0.90, 2.50, 14.70
2020-01-26, Este, 43.30, 1.10, 3.30, 16.60
